Carimbo de data/hora,"De acordo com a Lei Geral de Proteção de Dados (LGPD), você concorda com o fornecimento de algumas informações básicas para a pesquisa?",Qual é o perfil da sua empresa?,Qual o seu perfil de atuação na área de IA/ML?,Que tipo de software com IA/ML é desenvolvido pela empresa?,Qual é o papel da IA no software desenvolvido pela empresa?,Qual é o processo de desenvolvimento de componentes de IA/ML adotado pela empresa?,Quais métricas a empresa usa para acompanhar o processo de desenvolvimento de componentes de IA?,Quais problemas você já experimentou em seu código de  IA/ML?,Quais problemas de qualidade você costuma enfrentar em códigos de IA/ML?,Quais práticas de qualidade você aplica para descobrir problemas de qualidade no código IA/ML durante o processo de desenvolvimento?,Como são realizados os testes de componentes de IA/ML dos sistemas da sua empresa?,Quem do time realiza os testes de componentes de IA/ML dos sistemas da sua empresa?,Com qual periodicidade é realizada a varredura de vulnerabilidade do sistema?,"Como é conduzida a busca por vulnerabilidades no sistema, incluindo a detecção de vazamentos de dados e outras potenciais ameaças à segurança?",Vocês adotam padrões de SQA - Software Quality Assurance? Qual?,Como você seleciona o componente IA/ML para integrar em seu sistema? É baseado em uma avaliação de qualidade de código?,O que você melhoraria no fluxo de qualidade de código de IA da sua empresa?,Quais práticas de qualidade  de código de IA você conhece e que sua empresa ainda não usa?,"Caso queira deixar algum comentário ou observação, escreva no espaço abaixo."
01/06/2023 11:04:44,Sim,Média empresa (até 499 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos., Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais.",Software para uso interno da empresa,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Número de desenvolvedores por tarefa,"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Engenheiro de Machine Learning,Não há uma periodicidade definida,"Contamos com especialistas em segurança cibernética que conduzem testes de penetração e análise de vulnerabilidades de forma contínua., Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.","Não, não adotamos padrões de SQA",Avaliamos outras características,"O fluxo de trabalho de IA possui muitas particularidades em relação ao de desenvolvimento de software, que já está mais consolidado. Portanto, os mesmos métodos não podem ser aplicados sem adaptações. Existem dificuldades especialmente em relação ao versionamento de dados, modelos e experimentos, onde é muito fácil perder o controle de tudo que é feito. Atualmente minha equipe adotou uma ferramenta e um processo interno para sanar essas lacunas, mas isso gerou uma complexidade no fluxo e uma curva de aprendizado, resultando que nem sempre o processo é seguido. Além de quê os experimentos mudam constantemente e nem sempre se encaixam no processo definido. O resultado é uma grande geração de dados, artefatos e resultados, dificultando a rastreabilidade e reprodutibilidade.",Não se aplica,
01/06/2023 11:18:02,Sim,instituto de pesquisa,"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Engenheiro de Dados: Responsável por projetar e gerenciar a infraestrutura de dados necessária para alimentar os modelos de IA, garantindo sua qualidade e disponibilidade para uso em projetos de IA, Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,"Metodologia que se assemelha a um processo ágil, mas com restrições relativas a demandas específicas do cliente que quebram o fluxo e adição de etapas internas que o time criou para acomodar o tempo de pesquisa sem impacto das necessidades de desenvolvimento.","Número de desenvolvedores por tarefa, Número de funcionalidades entregues","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA., Problemas de deploy: hospedagem aquém dos requisitos de performance necessários.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de unidade, Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Desenvolvedor,Não há uma periodicidade definida,Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração",Adição de ferramentas de avaliação automática; realização de testes por testadores independentes com conhecimento específico de IA,Nenhuma.,"A principal dificuldade em garantir uma melhor qualidade de código de IA/ML não é em usar nenhuma ferramenta automática ou metodologia geral de codificação, e sim na harmonia entre o tempo de pesquisa e o tempo de desenvolvimento/implementação. Ainda não existe a cultura de que o tempo de pesquisa deve ser igualmente ou, às vezes, mais valorizado que o de desenvolvimento, e isso passa por toda a cadeia hierarquica dos projetos. O que o meu time desenvolveu para tentar mitigar isso foi formalizar um processo em 7 etapas que não concorrem com os requisitos/prazos de desenvolvimento:


1. definição do problema e das questões de pesquisa balizado pela expectativa dos usuários
2. coleta de dados para análise exploratória preliminar
3. limpeza dos dados
4. exploração: análise e identificação de padrões
5. modelagem do problema em termos dos dados e das regras de negócio específicas ao processo
6. visualização de resultados preliminares e repasse dos achados para discussão
7. desenvolvimento da aplicação"
01/06/2023 11:22:06,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos.",Software empresarial,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA., Problema de qualidade de dados.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Analista de testes, Desenvolvedor",Não há uma periodicidade definida,Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados.,"Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Não, não avaliamos a qualidade de código antes da integração",Aplicar reusabilidade de componentes de IA,Não sei,-
01/06/2023 13:07:50,Sim,Média empresa (até 499 colaboradores),"Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais.",Software empresarial,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,"Número de commits, Dias por sprint (no caso de metodologia ágil), Número de pull requests","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de unidade, Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)","Manuais, Automatizados, Híbridos","Analista de testes, Desenvolvedor",Semanalmente,Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.,"Sim, padrões externos (ISO, CMMI, etc.)","Sim, avaliamos a qualidade de código antes da integração",Nada em mente ,Nada em mente ,
01/06/2023 14:15:48,Sim,Média empresa (até 499 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,"Número de desenvolvedores por tarefa, Carga de dados processadas","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)",Avaliamos outras características,"O treinamento em relação ao fluxo geral de desenvolvimento de softwares que envolvem aprendizado de máquinas e inteligência artificial, para que todos entendam do processo que vai desde a definição clara do problema até a implantação da solução, passando por aprendizado contínuo e questões envolvendo ética.","Testes automatizados, refatoração regular e análise estática de código.",
01/06/2023 14:56:17,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos.","Revisões de código, Testes de unidade, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Automatizados,Desenvolvedor,Semanalmente,"Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados., Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.","Sim, padrões externos (ISO, CMMI, etc.)","Sim, avaliamos a qualidade de código antes da integração",contraria mais pessoas da área de QA para realizar testes mais abrangentes com métrica quantitativas e qualitativas dos produtos.,acho que estão bem em dia no tocante a isso,
01/06/2023 15:13:00,Sim,Grande empresa (acima de 500 colaboradores),"Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Engenheiro de Dados: Responsável por projetar e gerenciar a infraestrutura de dados necessária para alimentar os modelos de IA, garantindo sua qualidade e disponibilidade para uso em projetos de IA",Software para uso interno da empresa,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Analista de testes, Engenheiros de Machine Learning",Mensalmente,"Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.","Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Sim, avaliamos a qualidade de código antes da integração","Para melhorar o fluxo de qualidade de IA eu incluiria mais práticas de MLOps/DataOps e IAOps, para gerenciar as operações de maneira mais automatizada e segura. ","Análise estática de código: Que consiste em utilizar ferramentas de análise estática de código para identificar problemas potenciais, como erros de sintaxe, vulnerabilidades de segurança e más práticas de codificação.

É uma prática muito interessante mas que não vejo ser implementada no projeto que participo. ",
01/06/2023 15:17:21,Sim,Média empresa (até 499 colaboradores),"Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Número de desenvolvedores por tarefa,"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Automatizados,Desenvolvedor,Diariamente,Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração",.,.,
01/06/2023 15:53:58,Sim,Laboratório de Universidade,"Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), Número de pull requests, Número de desenvolvedores por tarefa, Pontos de atividades","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de unidade, Testes de integração, Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Analista de testes, Desenvolvedor",Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA",Avaliamos outras características,"Me referindo ao período que estive em objetos com IA, o que acredito que melhoraria seria mais automatização de testes e geração de dashboard para avaliar o funcionamento do sistema.","Desconheço as práticas de monitoramento de qualidade de código que sejam especificamente direcionadas para aplicações com IA. Supondo que um dia eu precise utilizar, eu especulo que talvez seja necessário uma prática direcionada para maior responsabilidade com a confidencialidade e privacidade dos dados que estão sendo manipulados.",
01/06/2023 18:26:31,Sim,Grande empresa (acima de 500 colaboradores),"Engenheiro de Dados: Responsável por projetar e gerenciar a infraestrutura de dados necessária para alimentar os modelos de IA, garantindo sua qualidade e disponibilidade para uso em projetos de IA",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Número de desenvolvedores por tarefa,"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.",Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.,Revisões de código,Manuais,Analista de testes,Não há uma periodicidade definida,Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.,"Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Sim, avaliamos a qualidade de código antes da integração","Treinaria os desenvolvedores de IA, pois a maioria não entende muito bem de engenharia de software.","Específicas de IA não conheço. Agora, trazer práticas como teste unitário já ajudaria bastante a resolver problemas com resultados não imaginados pelo programador.",
02/06/2023 09:11:20,Sim,Instituto de Pesquisa,"Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)","Automatizados, Híbridos","Analista de testes, Desenvolvedor",Não há uma periodicidade definida,Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados.,"Não, não adotamos padrões de SQA",Avaliamos outras características,Promover a integração da pipeline de testes utilizada para dev (front/backend) com o código IA também,Acredito que não exista algum processo de qualidade de código específico para IA que não esteja sendo empregado.,
