Carimbo de data/hora,"De acordo com a Lei Geral de Proteção de Dados (LGPD), você concorda com o fornecimento de algumas informações básicas para a pesquisa?",Qual é o perfil da sua empresa?,Qual o seu perfil de atuação na área de IA/ML?,Que tipo de software com IA/ML é desenvolvido pela empresa?,Qual é o papel da IA no software desenvolvido pela empresa?,Qual é o processo de desenvolvimento de componentes de IA/ML adotado pela empresa?,Quais métricas a empresa usa para acompanhar o processo de desenvolvimento de componentes de IA?,Quais problemas você já experimentou em seu código de  IA/ML?,Quais problemas de qualidade você costuma enfrentar em códigos de IA/ML?,Quais práticas de qualidade você aplica para descobrir problemas de qualidade no código IA/ML durante o processo de desenvolvimento?,Como são realizados os testes de componentes de IA/ML dos sistemas da sua empresa?,Quem do time realiza os testes de componentes de IA/ML dos sistemas da sua empresa?,Com qual periodicidade é realizada a varredura de vulnerabilidade do sistema?,"Como é conduzida a busca por vulnerabilidades no sistema, incluindo a detecção de vazamentos de dados e outras potenciais ameaças à segurança?",Vocês adotam padrões de SQA - Software Quality Assurance? Qual?,Como você seleciona o componente IA/ML para integrar em seu sistema? É baseado em uma avaliação de qualidade de código?,O que você melhoraria no fluxo de qualidade de código de IA da sua empresa?,Quais práticas de qualidade  de código de IA você conhece e que sua empresa ainda não usa?,"Caso queira deixar algum comentário ou observação, escreva no espaço abaixo."
02/06/2023 12:30:33,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional.",Software para uso interno da empresa,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Análises Estatísticas (Acurácia, Matriz de confusão, etc)","Manuais, Automatizados","Product Owner (PO), Eu mesmo",Não sei informar.,Contamos com especialistas em segurança cibernética que conduzem testes de penetração e análise de vulnerabilidades de forma contínua.,"Não, não adotamos padrões de SQA",Avaliamos outras características,Criaria rotinas de revisão de código mais bem definidas.,Criação de testes automatizados para verificação e monitoramento de métricas.,
02/06/2023 13:04:31,Sim,Média empresa (até 499 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos.","Produtos de dados em geral, como modelos de classificação e clustering de dados, detecção e classificação de imagens","Depende do projeto, existem projetos que a funcionalizade de IA é crítica para o cliente, mas a maioria dos clientes tem menor maturidade analitica de dados, usando a IA de forma secundária",A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), Número de funcionalidades/entregas realizadas em uma sprint","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)","Manuais, Automatizados",Desenvolvedor,Não há uma periodicidade definida,"Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados., Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.","Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Sim, avaliamos a qualidade de código antes da integração","Acredito que o nível de qualidade atual do fluxo de trabalho da empresa é bastante elevado, se comparado com outras empresas nas quais já trabalhei. São realizadas revisões de código, aplicadas padronizações internas para garantir a qualidade do código e utilizados frameworks para padronização no desenvolvimento de código de ciência de dados.",Não conheço outras práticas de qualidade,
02/06/2023 13:15:21,Sim,Startup,"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Analista de testes,Mensalmente,"Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados., Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.","Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Não, não avaliamos a qualidade de código antes da integração",Utilização de testes automatizado,testes automatizado,
02/06/2023 14:27:07,Sim,Grande empresa (acima de 500 colaboradores),"Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial., Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,Não há processo formal,Carga de dados processadas,"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Testes de unidade, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Desenvolvedor,Diariamente,"Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados., Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados.","Sim, padrões externos (ISO, CMMI, etc.)",Avaliamos outras características,O processo de ingestão de dados. Seleção de dados para o treinamento,Auditoria de vieses. A urgencia de entrega faz com que nao tenha tempo hábil no estudo de vieses na massa de dados. Mas isso não afeta substancialmente o desenvolvimento do modelo de AI.,
02/06/2023 15:23:18,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos., Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,Desenvolvedor,Nunca,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração",Mais estudos em MLOps,Não sei,Não
02/06/2023 16:06:32,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos.",Software empresarial,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), Carga de dados processadas, Quantidade de modelos em produção","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA., Necessidade de personalização das bibliotecas","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA., Falta de compatibilidade com versões antigas das bibliotecas","Revisões de código, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Analista de testes, Desenvolvedor",Não há uma periodicidade definida,"Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados., Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.","Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração","Pair programming e reuniões periódicas para discutir como seria o desenvolvimento de arquiteturas do projeto, mesmo se a pessoa não fizer parte da equipe.","Utilizar ferramentas que otimizam o desenvolvimento de áreas chave, como EDA.",
02/06/2023 16:09:43,Sim,Grande empresa (acima de 500 colaboradores),"Engenheiro de Dados: Responsável por projetar e gerenciar a infraestrutura de dados necessária para alimentar os modelos de IA, garantindo sua qualidade e disponibilidade para uso em projetos de IA",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.",Revisões de código,Manuais,Analista de testes,Semanalmente,Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração",Criação de um plano de testes,Ainda estou estudando sobre o assunto,
02/06/2023 16:16:45,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos., Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais., Arquiteto de Soluções - Foco em AI e visão computacional.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Analista de testes, Desenvolvedor",Não há uma periodicidade definida,"Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados., Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.","Sim, padrões externos (ISO, CMMI, etc.)","Sim, avaliamos a qualidade de código antes da integração",Adoção de praticas de MLOPS.,Um pipeline bem definido desde a parte inicial de dados até deployment dos modelos.,
02/06/2023 16:26:58,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial.",Software empresarial,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), Posso dizer que é feito um planejamento seguindo a CRISP-DM.","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)","Automatizados, Híbridos","Desenvolvedor, Ciêntista de Dados",Semanalmente,"Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.","Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Sim, avaliamos a qualidade de código antes da integração",Um padrão para desenvolvimento das soluções uma vez que seja definido o modelo.,Métricas de código como 'big o',
02/06/2023 16:31:38,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos.",Projeto de pesquisa e desenvolvimento para outras empresas,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de unidade, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)","Manuais, Automatizados, Híbridos","Analista de testes, Desenvolvedor",Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,Não sei informar,"Sim, avaliamos a qualidade de código antes da integração",Auditorias mais regulares,Não sei,
02/06/2023 16:46:54,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Desenvolvedor, Product Owner (PO)",Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Sim, avaliamos a qualidade de código antes da integração",Simulação de predições a partir de amostras elaboradas por especialistas para validar o resultado dos modelos,Ainda nenhuma,
02/06/2023 17:22:11,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), Carga de dados processadas","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Desenvolvedor, Product Owner (PO)",Diariamente,"Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Contamos com especialistas em segurança cibernética que conduzem testes de penetração e análise de vulnerabilidades de forma contínua.","Sim, padrões externos (ISO, CMMI, etc.)","Sim, avaliamos a qualidade de código antes da integração",Melhoria em documentações de updates no código ,Não consigo listar,
