Carimbo de data/hora,"De acordo com a Lei Geral de Proteção de Dados (LGPD), você concorda com o fornecimento de algumas informações básicas para a pesquisa?",Qual é o perfil da sua empresa?,Qual o seu perfil de atuação na área de IA/ML?,Que tipo de software com IA/ML é desenvolvido pela empresa?,Qual é o papel da IA no software desenvolvido pela empresa?,Qual é o processo de desenvolvimento de componentes de IA/ML adotado pela empresa?,Quais métricas a empresa usa para acompanhar o processo de desenvolvimento de componentes de IA?,Quais problemas você já experimentou em seu código de  IA/ML?,Quais problemas de qualidade você costuma enfrentar em códigos de IA/ML?,Quais práticas de qualidade você aplica para descobrir problemas de qualidade no código IA/ML durante o processo de desenvolvimento?,Como são realizados os testes de componentes de IA/ML dos sistemas da sua empresa?,Quem do time realiza os testes de componentes de IA/ML dos sistemas da sua empresa?,Com qual periodicidade é realizada a varredura de vulnerabilidade do sistema?,"Como é conduzida a busca por vulnerabilidades no sistema, incluindo a detecção de vazamentos de dados e outras potenciais ameaças à segurança?",Vocês adotam padrões de SQA - Software Quality Assurance? Qual?,Como você seleciona o componente IA/ML para integrar em seu sistema? É baseado em uma avaliação de qualidade de código?,O que você melhoraria no fluxo de qualidade de código de IA da sua empresa?,Quais práticas de qualidade  de código de IA você conhece e que sua empresa ainda não usa?,"Caso queira deixar algum comentário ou observação, escreva no espaço abaixo."
02/06/2023 17:50:37,Sim,Grande empresa (acima de 500 colaboradores),Product Owner de Dados: responsável por trabalhar com gerenciamento de produto da área de Dados.,Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), Story Points, Marcos do projeto","Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização.","Revisões de código, Testes de unidade, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,"Analista de testes, Desenvolvedor","Não há periodicidade definida, mas ocorre pelo menos 2 vezes por semana","Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Monitoramos constantemente os logs do sistema e utilizamos sistemas de detecção de intrusões para identificar possíveis ameaças e vazamentos de dados.","Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Sim, avaliamos a qualidade de código antes da integração","Acredito que o Scrum sozinho não é tão adequado para projetos de data science, necessitandod e ajustes para se adequar a cada projeto. Um modelo ágil voltado para ciência de dados seria interessante, até para alinhar expectativas com clientes.",Testes de penetração,
05/06/2023 08:40:57,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos.",Software empresarial,A IA é um componente crítico do software,Não há processo formal,Acompanhamento dos resultados com apresentações mensalmente,"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,Product Owner (PO),Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)",Avaliamos outras características,"Aumentaria o número de profissionais na área. Por que só o cientista de dados não é suficiente para manusear todo um projeto de IA, o que pode prejudicar o fluxo de qualidade do código.",Testes automatizados e revisão de código,
05/06/2023 08:59:19,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Engenheiro de Dados: Responsável por projetar e gerenciar a infraestrutura de dados necessária para alimentar os modelos de IA, garantindo sua qualidade e disponibilidade para uso em projetos de IA, Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos.",Software para uso interno da empresa,A IA é um componente crítico do software,uma mistura de kanban com scrum,Dias por sprint (no caso de metodologia ágil),"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.",Mudanças nas regras de negócio,"Revisões de código, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,Desenvolvedor,Não há uma periodicidade definida,"Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.","Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração","* implementaria um canary deployment para novas releases
* aumentaria o numero de testes funcionais focados em ml",NDA,
05/06/2023 09:36:35,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Engenheiro de Dados: Responsável por projetar e gerenciar a infraestrutura de dados necessária para alimentar os modelos de IA, garantindo sua qualidade e disponibilidade para uso em projetos de IA",Software para uso interno da empresa,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de unidade, Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)","Automatizados, Híbridos","Analista de testes, Cientista de Dados, Engenheiro de ML",Diariamente,Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados.,"Sim, padrões externos (ISO, CMMI, etc.)","Sim, avaliamos a qualidade de código antes da integração",Utilizaria ferramentas e processos de adequados para a IA.,Sagemaker,
05/06/2023 09:53:29,Sim,Pequena empresa (até 99 colaboradores),"Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Testes de unidade, Testes de sistema","Manuais, Automatizados",Analista de testes,Semanalmente,Realizamos auditorias regulares do sistema para identificar possíveis vulnerabilidades e vazamentos de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração","Implementar revisões sistemáticas de código, nas quais os desenvolvedores revisam o código uns dos outros. Isso ajuda a identificar erros, melhorar a legibilidade e promover boas práticas de programação.","Verificar a qualidade e consistência dos dados de treinamento usados para treinar modelos de IA. Isso inclui a identificação de viés nos dados, avaliação da representatividade do conjunto de treinamento e a consideração de estratégias para tratar dados ausentes ou ruidosos.",
05/06/2023 10:17:22,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos.",Software empresarial,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização.","Revisões de código, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,Analista de testes,Mensalmente,"Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados., Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.",,Avaliamos outras características,Modularização para possibilitar reutilização,Testes unitários e teste de sistema,Existe barante espaço para melhorias
05/06/2023 10:18:36,Sim,Grande empresa (acima de 500 colaboradores),Project Manager,Software empresarial,A IA é um componente crítico do software,Híbrida (ágil e tradicional),Número de desenvolvedores por tarefa,"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de integração, Testes de sistema",Híbridos,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração",Incluiria Pessoas QAs junto as equipes de Pesquisa & Desenvolvimento (Devs) para criar rotinas e práticas preventivas. ,N/A,N/A
05/06/2023 10:38:24,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,Não há processo formal,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA.","Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração",Processo robusto de CI/CD + testes para deploy,"TDD, OOP",
05/06/2023 11:45:05,Sim,Grande empresa (acima de 500 colaboradores),"Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial., Especialista em Visão Computacional: Possui conhecimento em algoritmos e sistemas que possam visualizar e interpretar imagens e vídeos. Trabalha em áreas como reconhecimento facial, detecção de objetos, análise de imagens médicas e veículos autônomos.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), numero de sprints e numero de pessoas por sprint","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização.","Revisões de código, Testes de unidade, Testes de integração",Híbridos,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA","Sim, avaliamos a qualidade de código antes da integração",Codificação orientada a teste.,Nenhuma,Projetos de IA parecem ter menos espaço para desenvolvedores aplicarem conceitos de design pattern
05/06/2023 13:25:57,Sim,Média empresa (até 499 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos.",Testes de unidade,"Manuais, Automatizados","Analista de testes, Desenvolvedor",Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Sim, padrões externos (ISO, CMMI, etc.)","Sim, avaliamos a qualidade de código antes da integração",Adicionaria mais code reviews por colaboradores mais experientes. É difícil ter code review para a área de ML.,Utilizaria estratégias de modelos de inteligência artificial para interpretar códigos fontes.,
05/06/2023 14:38:37,Sim,Pequena empresa (até 99 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Engenheiro de Machine Learning: Atua nas fases de criação, treinamento e implementação de modelos de IA, que possam realizar tarefas específicas, como reconhecimento de padrões, processamento de linguagem natural ou visão computacional., Especialista em Processamento de Linguagem Natural (NLP): Possui conhecimento no desenvolvimento de sistemas capazes de entender e processar a linguagem humana. Atua em áreas como chatbots, tradução automática, análise de sentimentos, sumarização de texto e assistentes virtuais.",Software para uso interno da empresa,A IA é usada como uma funcionalidade secundária,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA","Não, não avaliamos a qualidade de código antes da integração",Definição de uma metodologia e boas práticas,"MLOps, Design Patterns AI",
05/06/2023 17:14:14,Sim,Universidade,"Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial.",Científico,A IA é um componente crítico do software,A empresa segue metodologias ágeis,"Dias por sprint (no caso de metodologia ágil), Número de desenvolvedores por tarefa","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA",Avaliamos outras características,A organização e testificação,Teste unitário e deploy na nuvem,Qustionário não menciona ferramentas de fluxo de trabalho como dialogflow ou mesmo notebooks (jupyter)
07/06/2023 10:45:58,Sim,Grande empresa (acima de 500 colaboradores),especialista em computação quântica e otimização,Software empresarial,A IA é um componente crítico do software,A empresa segue metodologia tradicional ou cascata,Carga de dados processadas,"Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de unidade, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Product Owner (PO),Diariamente,Utilizamos ferramentas automatizadas para realizar varreduras de segurança periódicas em busca de vulnerabilidades e vazamentos de dados.,"Não, não adotamos padrões de SQA","Não, não avaliamos a qualidade de código antes da integração",melhor documentação,a empresa é mto ampla deve ter uma variedade delas,
07/06/2023 11:45:35,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Um pesquisador de Machine Learning é um profissional qualificado com formações em ciência da computação, matemática, estatística, e entre outras áreas a fins. Eles possuem experiência em vários algoritmos de aprendizado de máquina, linguagens de programação como Python ou R e ferramentas como TensorFlow ou PyTorch. Suas habilidades analíticas e de resolução de problemas permitem que eles desenvolvam soluções inovadoras para problemas complexos, enquanto seu compromisso com o aprendizado contínuo os mantém atualizados com os últimos avanços no campo. ",Software para uso interno da empresa,Depende as vezes pode ser ,Não há processo formal,"Número de desenvolvedores por tarefa, Na área de pesquisa, o processo de acompanhamento envolve a elaboração de estudos propostos, a aprovação das propostas de estudo, a submissão dos estudos finalizados e sua posterior apresentação. Os status de cada estudo são acompanhados por cards no Jira. ","Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos.","Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo.","Revisões de código, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,pesquisadores,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA",Avaliamos outras características,documentação pode ser um ponto a ser melhorado devido a complexidade das abordagens,"Minha abordagem inclui a prática de comentar e documentar o código de forma abrangente, bem como registrar o processo de criação nos documentos de apresentação.",
07/06/2023 17:56:31,Sim,EMPRESA PÚBLICA - SERPRO - Pelo menos 8 mil funcionários.,"Analista de BI. Entretanto, uso recursos de Machine Learning em painéis analíticos.",Software para o Governo.,"Depende do objetivo do projeto. Alguns a IA é crítica, em outros não.",Não há processo formal,Número de desenvolvedores por tarefa,"Problemas de escalabilidade - Diz respeito à capacidade do software de IA em lidar com grandes volumes de dados ou aumentos no número de usuários ou solicitações simultâneas., Algumas vezes soube de problemas de aprendizado contínuo (escalabilidade).",Falta de processo formal.,"Testes de integração, Testes de sistema, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Híbridos,Desenvolvedor,Não sei informar. Não é feita pela equipe de desenvolvimento.,Contamos com especialistas em segurança cibernética que conduzem testes de penetração e análise de vulnerabilidades de forma contínua.,"Sim, padrões internos (Templates ou Planilhas próprias padronizadas, etc)","Sim, avaliamos a qualidade de código antes da integração",A determinação de um processo formal.,MLOps e DataOps,"Como não sou Cientista de Dados, exatamente, algumas perguntas fogem do meu escopo."
08/06/2023 05:44:35,Sim,Sou da UECE.,Professor universitário,Sw de pesquisa acadêmica.,N/A,N/A,N/A,Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.,Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.,Revisões de código,Manuais,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,"Não, não adotamos padrões de SQA",N/A,N/A,N/A,
12/06/2023 13:14:38,Sim,Grande empresa (acima de 500 colaboradores),"Cientista de Dados: Responsável por coletar, organizar e analisar grandes volumes de dados para extrair insights e criar modelos preditivos., Desenvolvedor de Software de IA: Responsável por implementar os modelos e algoritmos de IA em sistemas e aplicativos práticos, ou seja, criar soluções de software que utilizam inteligência artificial.",Software empresarial,A IA é um componente crítico do software,A empresa segue metodologias ágeis,Dias por sprint (no caso de metodologia ágil),"Problemas de desempenho - Software lento, consome muitos recursos computacionais ou apresenta atrasos significativos na execução das tarefas de IA., Problemas de precisão - Refere-se à capacidade do software de IA em fornecer resultados corretos e confiáveis. Problemas de precisão podem ocorrer quando o modelo de IA apresenta baixa acurácia, faz previsões inconsistentes ou comete erros sistemáticos., Problemas de interpretabilidade - Diz respeito à capacidade de entender e explicar o comportamento e as decisões tomadas pelo modelo de IA.","Problemas de codificação - Refere-se a erros e inconsistências no código fonte do software de IA. Isso inclui erros de sintaxe, lógica ou otimização que podem levar a falhas na execução do programa ou a resultados incorretos., Problemas de documentação - Diz respeito à falta de informações claras e abrangentes sobre o software de IA, seus componentes e sua utilização., Problemas de manutenibilidade - Referem-se à facilidade com que o software de IA pode ser mantido, modificado e atualizado ao longo do tempo., Problemas de reusabilidade - Refere-se à capacidade de reutilizar componentes ou partes do código em diferentes projetos ou contextos de IA.","Revisões de código, Testes de unidade, Testes de integração, Análises Estatísticas (Acurácia, Matriz de confusão, etc)",Manuais,Desenvolvedor,Não há uma periodicidade definida,Não temos um processo estabelecido para busca de vulnerabilidades e detecção de vazamento de dados.,,Avaliamos outras características,O fluxo atual está funcionando adequadamente., ,